year,categoria,pais,euros
2005,19,Omán,0
2005,20,Omán,0
2005,21,Omán,0
2005,22,Omán,0
2005,total,Omán,65177
2005,1,Países Bajos,0
2005,2,Países Bajos,0
2005,3,Países Bajos,0
2005,4,Países Bajos,689600
2005,5,Países Bajos,0
2005,6,Países Bajos,0
2005,7,Países Bajos,0
2005,8,Países Bajos,0
2005,9,Países Bajos,0
2005,10,Países Bajos,0
2005,11,Países Bajos,0
2005,12,Países Bajos,0
2005,13,Países Bajos,0
2005,14,Países Bajos,0
2005,15,Países Bajos,0
2005,16,Países Bajos,0
2005,17,Países Bajos,0
2005,18,Países Bajos,0
2005,19,Países Bajos,0
2005,20,Países Bajos,0
2005,21,Países Bajos,0
2005,22,Países Bajos,0
2005,total,Países Bajos,689600
2005,1,Perú,0
2005,2,Perú,0
2005,3,Perú,0
2005,4,Perú,0
2005,5,Perú,0
2005,6,Perú,27237
2005,7,Perú,0
2005,8,Perú,0
2005,9,Perú,0
2005,10,Perú,0
2005,11,Perú,0
2005,12,Perú,0
2005,13,Perú,0
2005,14,Perú,0
2005,15,Perú,0
2005,16,Perú,0
2005,17,Perú,0
2005,18,Perú,0
2005,19,Perú,0
2005,20,Perú,0
2005,21,Perú,0
2005,22,Perú,0
2005,total,Perú,27237
2005,1,Polonia,0
2005,2,Polonia,0
2005,3,Polonia,0
2005,4,Polonia,0
2005,5,Polonia,0
2005,6,Polonia,0
2005,7,Polonia,0
2005,8,Polonia,0
2005,9,Polonia,0
2005,10,Polonia,48910198
2005,11,Polonia,0
2005,12,Polonia,0
2005,13,Polonia,0
2005,14,Polonia,0
2005,15,Polonia,0
2005,16,Polonia,0
2005,17,Polonia,0
2005,18,Polonia,0
2005,19,Polonia,0
2005,20,Polonia,0
2005,21,Polonia,0
2005,22,Polonia,0
2005,total,Polonia,48910198
2005,1,Portugal,74092
2005,2,Portugal,0
2005,3,Portugal,154302
2005,4,Portugal,0
2005,5,Portugal,0
2005,6,Portugal,0
2005,7,Portugal,0
2005,8,Portugal,0
2005,9,Portugal,0
2005,10,Portugal,0
2005,11,Portugal,0
2005,12,Portugal,0
2005,13,Portugal,0
2005,14,Portugal,0
2005,15,Portugal,0
2005,16,Portugal,0
2005,17,Portugal,0
2005,18,Portugal,0
2005,19,Portugal,0
2005,20,Portugal,0
2005,21,Portugal,0
2005,22,Portugal,0
2005,total,Portugal,228394
2005,1,Qatar,0
2005,2,Qatar,0
2005,3,Qatar,0
2005,4,Qatar,0
2005,5,Qatar,0
2005,6,Qatar,184837
2005,7,Qatar,0
2005,8,Qatar,0
2005,9,Qatar,0
2005,10,Qatar,0
2005,11,Qatar,0
2005,12,Qatar,0
2005,13,Qatar,0
2005,14,Qatar,0
2005,15,Qatar,0
2005,16,Qatar,0
2005,17,Qatar,0
2005,18,Qatar,0
2005,19,Qatar,0
2005,20,Qatar,0
2005,21,Qatar,0
2005,22,Qatar,0
2005,total,Qatar,184837
2005,1,Reino Unido,0
2005,2,Reino Unido,0
2005,3,Reino Unido,13375
2005,4,Reino Unido,2479517
2005,5,Reino Unido,0
2005,6,Reino Unido,215250
2005,7,Reino Unido,0
2005,8,Reino Unido,10200025
2005,9,Reino Unido,0
2005,10,Reino Unido,5678900
2005,11,Reino Unido,10320000
2005,12,Reino Unido,0
2005,13,Reino Unido,0
2005,14,Reino Unido,1219622
2005,15,Reino Unido,43141817
2005,16,Reino Unido,0
2005,17,Reino Unido,0
2005,18,Reino Unido,0
2005,19,Reino Unido,0
2005,20,Reino Unido,0
2005,21,Reino Unido,0
2005,22,Reino Unido,0
2005,total,Reino Unido,73268506
2005,1,República Dominicana,0
2005,2,República Dominicana,0
2005,3,República Dominicana,0
2005,4,República Dominicana,0
2005,5,República Dominicana,0
2005,6,República Dominicana,0
2005,7,República Dominicana,0
2005,8,República Dominicana,0
2005,9,República Dominicana,0
2005,10,República Dominicana,0
2005,11,República Dominicana,0
2005,12,República Dominicana,0
2005,13,República Dominicana,0
2005,14,República Dominicana,0
2005,15,República Dominicana,0
